"DATE" "DOW_Open" "DOW_High" "DOW_Low" "DOW_Close" "DOW_Adj.Close" "DOW_Volume" "NETEXP" "unemployment" "oil" "gold" "cpi" "federal_funds_rate" "gdp" "consumer_confidence"
"62" "1986-01-01" 616.429993 638.72998 594.340027 632.5 632.5 2879010000 -126.014 6.7 22.945 321.985 109.9 13.46 8148.603 "95.6"
"63" "1986-02-01" 632.359985 688.590027 629.130005 679.609985 679.609985 2899100000 NA 7.2 15.442 345.561363636364 109.7 8.09 NA "95.9"
"64" "1986-03-01" 678.25 726.809998 662.299988 718.159973 718.159973 3214600000 NA 7.2 12.618 339.0525 109.1 7.95 NA "95.1"
"65" "1986-04-01" 718.969971 728.909973 672.48999 693.700012 693.700012 3240400000 -128.872 7.1 12.847 346.094736842105 108.7 7.49 8185.303 "96.2"
"66" "1986-05-01" 691.880005 731.030029 679.070007 722.690002 722.690002 2680240000 NA 7.2 15.444 340.715909090909 109 7.13 NA "94.8"
"67" "1986-06-01" 721.650024 732.450012 695.809998 726.97998 726.97998 2649600000 NA 7.2 13.469 342.325 109.4 6.84 NA "99.3"
"68" "1986-07-01" 726.109985 735.190002 674.619995 686.659973 686.659973 3029900000 -138.961 7 11.575 342.797619047619 109.5 6.97 8263.639 "97.7"
"69" "1986-08-01" 686.849976 744.559998 670.080017 736.340027 736.340027 2701900000 NA 6.9 15.092 348.554347826087 109.6 6.38 NA "94.9"
"70" "1986-09-01" 737.030029 748.859985 673.559998 703.460022 703.460022 3166300000 NA 7 14.913 376.29 110 5.77 NA "91.9"
"71" "1986-10-01" 707.320007 750.530029 702.369995 742.070007 742.070007 3016740000 -133.629 7 14.852 418.152272727273 110.2 5.99 8308.021 "95.6"
"72" "1986-11-01" 742.099976 758.869995 712.830017 754.710022 754.710022 2940830000 NA 6.9 15.207 423.863043478261 110.4 5.93 NA "91.4"
"73" "1986-12-01" 749.909973 774.580017 731.98999 736.849976 736.849976 3260870000 NA 6.6 16.076 396.9825 110.8 6.38 NA "89.1"
"74" "1987-01-01" 738.22998 844.809998 736.929993 822.169983 822.169983 4040880000 -141.234 6.6 18.656 391.595238095238 111.4 14.35 8369.93 "90.4"
"75" "1987-02-01" 820.590027 868.26001 816.400024 849.219971 849.219971 3485300000 NA 6.6 17.726 408.52380952381 111.8 6.28 NA "90.2"
