Date,Open,High,Low,Close,Adj Close,Volume
1981-02-09,373.559998,375.730011,368.299988,374.929993,374.929993,38330000
1981-02-10,368.709991,372.190002,366.220001,369.380005,369.380005,40820000
1981-02-11,369.309998,371.140015,364.779999,366.359985,366.359985,37770000
1981-02-12,365.679993,367.779999,361.700012,363.369995,363.369995,34700000
1981-02-13,362.230011,364.380005,359.089996,361.040009,361.040009,33360000
1981-02-17,361.170013,365.130005,359.320007,362.820007,362.820007,37940000
1981-02-18,363.350006,366.750000,360.829987,364.790009,364.790009,40410000
1981-02-19,365.339996,366.609985,358.040009,359.440002,359.440002,41630000
1981-02-20,358.459991,361.790009,355.279999,358.589996,358.589996,41900000
1981-02-23,358.519989,363.579987,355.929993,360.589996,360.589996,39590000
1981-02-24,361.570007,365.200012,358.790009,361.690002,361.690002,43960000
1981-02-25,361.730011,365.459991,355.510010,362.809998,362.809998,45710000
1981-02-26,365.579987,369.739990,362.410004,367.420013,367.420013,60300000
1981-02-27,368.190002,372.440002,365.200012,370.029999,370.029999,53210000
1981-03-02,369.510010,374.709991,367.040009,372.859985,372.859985,47710000
1981-03-03,373.059998,375.359985,368.070007,370.160004,370.160004,48730000
1981-03-04,370.160004,376.910004,368.209991,373.899994,373.899994,47260000
1981-03-05,373.470001,376.850006,369.649994,372.410004,372.410004,45380000
1981-03-06,372.589996,375.160004,368.839996,372.160004,372.160004,43940000
1981-03-09,372.750000,377.470001,370.730011,375.320007,375.320007,46180000
1981-03-10,376.190002,379.299988,372.320007,374.209991,374.209991,56610000
1981-03-11,373.940002,376.239990,369.359985,372.730011,372.730011,47390000
1981-03-12,373.519989,382.540009,372.250000,381.859985,381.859985,54640000
1981-03-13,385.140015,387.989990,379.720001,381.899994,381.899994,68290000
1981-03-16,381.940002,388.649994,379.429993,387.700012,387.700012,49940000
1981-03-17,388.320007,391.470001,382.160004,384.750000,384.750000,65920000
1981-03-18,384.190002,388.100006,381.109985,384.350006,384.350006,55740000
1981-03-19,384.410004,386.690002,378.899994,380.910004,380.910004,62440000
1981-03-20,380.690002,385.940002,378.640015,382.890015,382.890015,61980000
1981-03-23,383.579987,388.799988,380.859985,386.570007,386.570007,57880000
1981-03-24,388.359985,391.359985,383.220001,384.720001,384.720001,66400000
1981-03-25,384.570007,392.299988,382.869995,391.670013,391.670013,56320000
1981-03-26,392.220001,395.440002,387.100006,389.489990,389.489990,60370000
1981-03-27,388.429993,391.470001,383.690002,386.019989,386.019989,46930000
1981-03-30,389.420013,393.059998,383.019989,385.739990,385.739990,33500000
1981-03-31,389.440002,393.690002,387.130005,390.829987,390.829987,50980000
1981-04-01,392.480011,396.779999,389.459991,393.739990,393.739990,54880000
1981-04-02,394.140015,397.160004,389.660004,393.209991,393.209991,52570000
1981-04-03,393.190002,395.959991,389.730011,392.040009,392.040009,48680000
1981-04-06,390.299988,391.640015,384.549988,387.170013,387.170013,43190000
1981-04-07,387.390015,391.540009,384.809998,387.809998,387.809998,44540000
1981-04-08,387.609985,391.429993,385.670013,389.040009,389.040009,48000000
1981-04-09,389.350006,393.519989,385.470001,391.119995,391.119995,59520000
1981-04-10,392.079987,395.420013,388.250000,391.970001,391.970001,58130000
1981-04-13,390.980011,393.299988,385.709991,387.700012,387.700012,49860000
1981-04-14,387.260010,389.570007,383.089996,385.980011,385.980011,48350000
1981-04-15,386.149994,393.160004,384.570007,391.750000,391.750000,56040000
1981-04-16,393.010010,396.299988,389.220001,393.190002,393.190002,52950000
1981-04-20,391.510010,397.040009,388.269989,394.559998,394.559998,51020000
1981-04-21,394.359985,396.559998,388.630005,390.700012,390.700012,60280000
1981-04-22,390.209991,395.040009,387.239990,391.910004,391.910004,60660000
1981-04-23,392.149994,396.799988,389.000000,391.820007,391.820007,64200000
1981-04-24,391.540009,396.010010,389.019989,394.130005,394.130005,60000000
1981-04-27,394.559998,397.549988,390.809998,393.959991,393.959991,51080000
1981-04-28,394.470001,395.790009,387.980011,390.720001,390.720001,58210000
1981-04-29,390.170013,391.600006,383.890015,387.010010,387.010010,53340000
1981-04-30,387.170013,389.420013,382.059998,384.390015,384.390015,47970000
1981-05-01,384.160004,387.260010,379.609985,383.239990,383.239990,48360000
1981-05-04,378.440002,379.940002,374.299988,377.230011,377.230011,40430000
1981-05-05,374.950012,377.420013,371.299988,374.160004,374.160004,49000000
1981-05-06,375.489990,379.450012,373.019989,375.130005,375.130005,47100000
1981-05-07,374.739990,379.339996,373.010010,377.559998,377.559998,42590000
1981-05-08,378.399994,381.089996,375.700012,377.709991,377.709991,41860000
1981-05-11,378.019989,379.230011,370.920013,372.660004,372.660004,37640000
1981-05-12,371.850006,376.899994,369.359985,375.130005,375.130005,40440000
1981-05-13,376.410004,380.440002,373.500000,377.070007,377.070007,42600000
1981-05-14,377.339996,381.720001,375.809998,379.720001,379.720001,42750000
1981-05-15,380.399994,385.559998,378.720001,383.570007,383.570007,45460000
1981-05-18,384.660004,387.700012,381.549988,382.700012,382.700012,42510000
1981-05-19,384.279999,385.869995,379.369995,384.170013,384.170013,42220000
1981-05-20,382.160004,384.500000,379.170013,381.609985,381.609985,42370000
1981-05-21,381.809998,384.470001,378.299988,380.980011,380.980011,46820000
1981-05-22,381.660004,383.970001,377.549988,379.869995,379.869995,40710000
1981-05-26,380.380005,385.190002,377.529999,383.600006,383.600006,42760000
1981-05-27,383.679993,389.390015,381.450012,387.429993,387.429993,58730000
1981-05-28,388.679993,391.549988,384.179993,388.250000,388.250000,59500000
1981-05-29,388.489990,391.529999,384.200012,387.140015,387.140015,51580000
1981-06-01,388.640015,393.239990,380.970001,386.989990,386.989990,62170000
1981-06-02,386.320007,388.529999,380.040009,381.170013,381.170013,53930000
1981-06-03,379.369995,383.790009,375.820007,381.739990,381.739990,54700000
1981-06-04,382.190002,384.959991,378.679993,381.440002,381.440002,48940000
1981-06-05,381.269989,386.089996,379.250000,383.829987,383.829987,47180000
1981-06-08,384.790009,388.619995,382.089996,384.980011,384.980011,41580000
1981-06-09,384.980011,388.239990,381.690002,384.179993,384.179993,44600000
1981-06-10,384.500000,388.510010,381.440002,384.730011,384.730011,53200000
1981-06-11,384.940002,390.690002,382.910004,389.350006,389.350006,59530000
1981-06-12,389.940002,393.390015,385.660004,388.730011,388.730011,60790000
1981-06-15,391.320007,395.450012,387.399994,390.109985,390.109985,63350000
1981-06-16,389.940002,392.100006,384.570007,386.619995,386.619995,57780000
1981-06-17,385.609985,389.739990,381.980011,387.339996,387.339996,55470000
1981-06-18,387.519989,389.679993,382.059998,384.220001,384.220001,48400000
1981-06-19,383.440002,387.440002,381.239990,385.040009,385.040009,46430000
1981-06-22,385.799988,388.980011,382.899994,385.079987,385.079987,41790000
1981-06-23,384.609985,390.260010,383.010010,389.130005,389.130005,51840000
1981-06-24,388.859985,390.049988,384.529999,386.540009,386.540009,46650000
1981-06-25,386.029999,389.230011,383.559998,385.309998,385.309998,43920000
1981-06-26,385.220001,387.130005,381.649994,383.230011,383.230011,39240000
1981-06-29,383.290009,384.980011,378.570007,380.190002,380.190002,37930000
1981-06-30,379.739990,382.230011,376.230011,378.309998,378.309998,41550000
1981-07-01,377.589996,379.459991,373.339996,375.369995,375.369995,49080000
1981-07-02,375.350006,377.730011,370.649994,372.410004,372.410004,45100000
1981-07-06,370.299988,372.390015,365.040009,367.160004,367.160004,44590000
1981-07-07,367.809998,371.690002,364.079987,367.959991,367.959991,53560000
1981-07-08,368.679993,371.040009,364.589996,368.250000,368.250000,46000000
1981-07-09,368.630005,372.760010,366.579987,370.459991,370.459991,45510000
1981-07-10,371.059998,373.459991,367.709991,370.440002,370.440002,39950000
1981-07-13,370.690002,373.670013,368.350006,370.339996,370.339996,38100000
1981-07-14,369.929993,371.589996,365.510010,368.059998,368.059998,45230000
1981-07-15,368.839996,374.179993,367.160004,371.549988,371.549988,48950000
